model_name,dataset_name,accuracy,precision,recall,f1,num_samples,threshold,invert_labels,TP,TN,FP,FN,file
CHELSEA234_M2F2_Det,20K_real_and_deepfake_images,0.7620,0.7379,0.6799,0.7077,17354,,,5000,8224,1776,2354,Results\CHELSEA234_M2F2_Det_20K_real_and_deepfake_images.json
CHELSEA234_M2F2_Det,DeepDetect-2025,0.8065,0.9277,0.6317,0.7516,112185,,,32843,57633,2559,19150,Results\CHELSEA234_M2F2_Det_DeepDetect-2025.json
CHELSEA234_M2F2_Det,Deepfake-vs-Real-v2,0.7130,0.8102,0.5509,0.6558,19291,,,5275,8479,1236,4301,Results\CHELSEA234_M2F2_Det_Deepfake-vs-Real-v2.json
CHELSEA234_M2F2_Det,gravex200k,0.5854,0.7943,0.2305,0.3573,200000,,,23048,94031,5969,76952,Results\CHELSEA234_M2F2_Det_gravex200k.json
CHELSEA234_M2F2_Det,nuriachandra_Deepfake-Eval-2024,0.4959,0.6699,0.3440,0.4545,1952,,,410,558,202,782,Results\CHELSEA234_M2F2_Det_nuriachandra_Deepfake-Eval-2024.json
CommunityForensics-DeepfakeDet-ViT_TEST,20K_real_and_deepfake_images,0.5018,0.4482,0.7601,0.5639,17354,,,5590,3118,6882,1764,Results\CommunityForensics-DeepfakeDet-ViT_TEST_20K_real_and_deepfake_images.json
CommunityForensics-DeepfakeDet-ViT_TEST,DeepDetect-2025,0.4813,0.4688,0.8945,0.6152,112185,,,46509,7490,52702,5484,Results\CommunityForensics-DeepfakeDet-ViT_TEST_DeepDetect-2025.json
CommunityForensics-DeepfakeDet-ViT_TEST,Deepfake-vs-Real-v2,0.4589,0.4724,0.7721,0.5862,19291,,,7394,1458,8257,2182,Results\CommunityForensics-DeepfakeDet-ViT_TEST_Deepfake-vs-Real-v2.json
CommunityForensics-DeepfakeDet-ViT_TEST,gravex200k,0.4901,0.4942,0.8439,0.6234,200000,,,84395,13630,86370,15605,Results\CommunityForensics-DeepfakeDet-ViT_TEST_gravex200k.json
CommunityForensics-DeepfakeDet-ViT_TEST,nuriachandra_Deepfake-Eval-2024,0.5953,0.6491,0.7341,0.6890,1952,,,875,287,473,317,Results\CommunityForensics-DeepfakeDet-ViT_TEST_nuriachandra_Deepfake-Eval-2024.json
Defocus_GT_Xception_Deepfakes,20K_real_and_deepfake_images,0.6149,0.7951,0.1229,0.2129,17354,0.5,False,904,9767,233,6450,Results\Defocus_GT_Xception_Deepfakes_20K_real_and_deepfake_images.json
Defocus_GT_Xception_Deepfakes,DeepDetect-2025,0.5207,0.1048,0.0045,0.0087,112185,0.5,False,236,58177,2015,51757,Results\Defocus_GT_Xception_Deepfakes_DeepDetect-2025.json
Defocus_GT_Xception_Deepfakes,Deepfake-vs-Real-v2,0.5226,0.6867,0.0703,0.1275,19291,0.5,False,673,9408,307,8903,Results\Defocus_GT_Xception_Deepfakes_Deepfake-vs-Real-v2.json
Defocus_GT_Xception_Deepfakes,gravex200k,0.5558,0.6538,0.2371,0.3480,200000,0.5,False,23706,87448,12552,76294,Results\Defocus_GT_Xception_Deepfakes_gravex200k.json
Defocus_GT_Xception_Deepfakes,nuriachandra_Deepfake-Eval-2024,0.4001,0.7234,0.0285,0.0549,1952,0.5,False,34,747,13,1158,Results\Defocus_GT_Xception_Deepfakes_nuriachandra_Deepfake-Eval-2024.json
FSFM_ViT_B16_FFpp_c23,20K_real_and_deepfake_images,0.6244,0.7056,0.1949,0.3054,17354,0.5,True,1433,9402,598,5921,Results\FSFM_ViT_B16_FFpp_c23_20K_real_and_deepfake_images.json
FSFM_ViT_B16_FFpp_c23,DeepDetect-2025,0.5195,0.3150,0.0312,0.0568,112185,0.5,True,1624,56660,3532,50369,Results\FSFM_ViT_B16_FFpp_c23_DeepDetect-2025.json
FSFM_ViT_B16_FFpp_c23,Deepfake-vs-Real-v2,0.5310,0.6319,0.1323,0.2188,19291,0.5,True,1267,8977,738,8309,Results\FSFM_ViT_B16_FFpp_c23_Deepfake-vs-Real-v2.json
FSFM_ViT_B16_FFpp_c23,gravex200k,0.5819,0.7511,0.2449,0.3694,200000,0.5,True,24492,91884,8116,75508,Results\FSFM_ViT_B16_FFpp_c23_gravex200k.json
